id,source,source_decoded,destination,destination_decoded,status_code,rank_math_status
1,news,/news,https://dralirezasadighi.com/%d8%af%da%a9%d8%aa%d8%b1-%d8%b9%d9%84%db%8c%d8%b1%d8%b6%d8%a7-%d8%b5%d8%af%db%8c%d9%82%db%8c-2,/دکتر-علیرضا-صدیقی-2,301,active
2,en/what-is-a-recessed-lower-jaw-causes-symptoms-and-the-importance-of-treatment,/en/what-is-a-recessed-lower-jaw-causes-symptoms-and-the-importance-of-treatment,https://dralirezasadighi.com/en/recessed-lower-jaw-causes-symptoms-and-treatment,/en/recessed-lower-jaw-causes-symptoms-and-treatment,301,active
3,ایمپلنت-فوری-در-تبریز-راهکاری-سریع-و-م,/ایمپلنت-فوری-در-تبریز-راهکاری-سریع-و-م,https://dralirezasadighi.com/%d8%a7%db%8c%d9%85%d9%be%d9%84%d9%86%d8%aa-%d9%81%d9%88%d8%b1%db%8c-%d8%af%d8%b1-%d8%aa%d8%a8%d8%b1%db%8c%d8%b2,/ایمپلنت-فوری-در-تبریز,301,active
4,تفاوت-کشیدن-دندان-و-جراحی-دندان-عقل-هرآ,/تفاوت-کشیدن-دندان-و-جراحی-دندان-عقل-هرآ,https://dralirezasadighi.com/%d8%aa%d9%81%d8%a7%d9%88%d8%aa-%da%a9%d8%b4%db%8c%d8%af%d9%86-%d8%af%d9%86%d8%af%d8%a7%d9%86-%d9%88-%d8%ac%d8%b1%d8%a7%d8%ad%db%8c-%d8%af%d9%86%d8%af%d8%a7%d9%86-%d8%b9%d9%82%d9%84,/تفاوت-کشیدن-دندان-و-جراحی-دندان-عقل,301,active
5,ایمپلنت-سوئیسی-دیجیتالی؛-بهترین-راه,/ایمپلنت-سوئیسی-دیجیتالی؛-بهترین-راه,https://dralirezasadighi.com/%d8%a7%db%8c%d9%85%d9%be%d9%84%d9%86%d8%aa-%d8%b3%d9%88%d8%a6%db%8c%d8%b3%db%8c-%d8%af%db%8c%d8%ac%db%8c%d8%aa%d8%a7%d9%84%db%8c,/ایمپلنت-سوئیسی-دیجیتالی,301,active
6,ایمپلنت-دندان-بدون-درد-راهی-برای-لبخند,/ایمپلنت-دندان-بدون-درد-راهی-برای-لبخند,https://dralirezasadighi.com/%d8%a7%db%8c%d9%85%d9%be%d9%84%d9%86%d8%aa-%d8%af%d9%86%d8%af%d8%a7%d9%86-%d8%a8%d8%af%d9%88%d9%86-%d8%af%d8%b1%d8%af,/ایمپلنت-دندان-بدون-درد,301,active
7,جراحی-فک-پایین-عقب-رفته-بهبودی-و-نتایج,/جراحی-فک-پایین-عقب-رفته-بهبودی-و-نتایج,https://dralirezasadighi.com/%d8%ac%d8%b1%d8%a7%d8%ad%db%8c-%d9%81%da%a9-%d9%be%d8%a7%db%8c%db%8c%d9%86-%d8%b9%d9%82%d8%a8-%d8%b1%d9%81%d8%aa%d9%87,/جراحی-فک-پایین-عقب-رفته,301,active
8,جوانسازی-صورت-با-فیلر-راهی-سریع-و-مؤثر,/جوانسازی-صورت-با-فیلر-راهی-سریع-و-مؤثر,https://dralirezasadighi.com/%d8%ac%d9%88%d8%a7%d9%86%d8%b3%d8%a7%d8%b2%db%8c-%d8%b5%d9%88%d8%b1%d8%aa-%d8%a8%d8%a7-%d9%81%db%8c%d9%84%d8%b1-%d8%aa%d9%87%d8%b1%d8%a7%d9%86-%d9%88-%d8%aa%d8%a8%d8%b1%db%8c%d8%b2,/جوانسازی-صورت-با-فیلر-تهران-و-تبریز,301,active
9,جراحی-فک-پایین-عقب-رفته-راهی-برای-بهبود/,/جراحی-فک-پایین-عقب-رفته-راهی-برای-بهبود,https://dralirezasadighi.com/%d8%ac%d8%b1%d8%a7%d8%ad%db%8c-%d9%81%da%a9-%d9%be%d8%a7%db%8c%db%8c%d9%86-%d8%b9%d9%82%d8%a8-%d8%b1%d9%81%d8%aa%d9%87/,/جراحی-فک-پایین-عقب-رفته,301,active
9,جراحی-فک-پایین-عقب-رفته-2/,/جراحی-فک-پایین-عقب-رفته-2,https://dralirezasadighi.com/%d8%ac%d8%b1%d8%a7%d8%ad%db%8c-%d9%81%da%a9-%d9%be%d8%a7%db%8c%db%8c%d9%86-%d8%b9%d9%82%d8%a8-%d8%b1%d9%81%d8%aa%d9%87/,/جراحی-فک-پایین-عقب-رفته,301,active
10,جراحی-فک-کمتهاجمی-روشی-نوین-برای-درم/,/جراحی-فک-کمتهاجمی-روشی-نوین-برای-درم,https://dralirezasadighi.com/%d8%ac%d8%b1%d8%a7%d8%ad%db%8c-%d9%81%da%a9-%da%a9%d9%85-%d8%aa%d9%87%d8%a7%d8%ac%d9%85%db%8c/,/جراحی-فک-کم-تهاجمی,301,active
