legacy_path,title,content_length,clicks,impressions,topic_cluster,current_redirect_target,disposition
/بهترین-جراح-فک-در-تبریز-راهنمای-کامل-ا,بهترین جراح فک در تبریز - راهنمای کامل انتخاب و نکات مهم,6359,59,5148,orthognathic-surgery,/about,approved-redirect-to-about-not-migrated
/25-سوال-متداول-در-مورد-جراحی-لیفت-صورت-که,25 سوال متداول در مورد جراحی لیفت صورت,4766,58,929,facial-cosmetic-surgery,/knowledge/25-سوال-متداول-در-مورد-جراحی-لیفت-صورت-که,batch-2-implemented
/cas-چیست-و-کاربرد-های-آن,CAS چیست و کاربرد های آن,1906,57,2972,orthognathic-surgery,/knowledge/جراحی-فک-دیجیتال,batch-2-implemented
/راهنمای-جامع-ایمپلنت-دندان-در-تبریز,راهنمای جامع ایمپلنت دندان در تبریز,11590,50,234,advanced-dental-implant,/knowledge/راهنمای-جامع-ایمپلنت-دندان-در-تبریز,batch-2-implemented
/ناقرینگیهای-ناشی-از-تروما-به-صورت-عل,ناقرینگی‌های ناشی از تروما به صورت: علل، تشخیص و درمان,3437,46,1808,facial-trauma-surgery,/knowledge/ناقرینگیهای-ناشی-از-تروما-به-صورت-عل,batch-2-implemented
/تزریق-بوتاکس-برای-از-بین-بردن-دندان-قرو,تزریق بوتاکس برای از بین بردن دندان قروچه راهکاری نوین و مؤثر,1889,44,1167,facial-cosmetic-surgery,/knowledge/تزریق-بوتاکس-برای-از-بین-بردن-دندان-قرو,batch-2-implemented
/انواع-تزریق-چربی-میکروفت،-نانوفت-و-سای,انواع تزریق چربی: میکروفت، نانوفت و سایرین,4046,42,1571,uncategorized,/knowledge/انواع-تزریق-چربی-میکروفت،-نانوفت-و-سای,batch-2-implemented
/جراحی-دیجیتال-فک,جراحی دیجیتال فک,2474,41,385,orthognathic-surgery,/knowledge/جراحی-فک-دیجیتال,batch-2-implemented
/چرا-دکتر-علیرضا-صدیقی-را-برای-جراحی-فک-ا,چرا دکتر علیرضا صدیقی را برای جراحی فک انتخاب کنیم: انتخابی برتر برای دقت و برتری,18323,39,1723,orthognathic-surgery,/about,approved-redirect-to-about-not-migrated
/اموزش-دوره-ها-تخصصی-ایمپلنت,اموزش دوره ها تخصصی ایمپلنت,103,37,314,advanced-dental-implant,/services/advanced-dental-implant,pending-batch-3-or-4
/جراحی-چانه-پروتز-فیلر-جینیوپلاستی,جراحی چانه: بررسی علمی روش‌های اصلاح فرم چانه با پروتز، جینیوپلاستی و فیلر + مزایا، معایب و هزینه‌ها,4412,31,2482,facial-cosmetic-surgery,/knowledge/جراحی-چانه-پروتز-فیلر-جینیوپلاستی,batch-2-implemented
/facial-asymmetry-due-to-trauma-causes-diagnosis-and-treatment,"Facial Asymmetry Due to Trauma: Causes, Diagnosis, and Treatment",3152,26,2180,uncategorized,/en/knowledge/facial-asymmetry-due-to-trauma-causes-diagnosis-and-treatment,batch-2-implemented
/جراحی-ناقرینگیهای-صورت-رویکردها-و-م,جراحی ناقرینگی‌های صورت: رویکردها و مزایا,3244,25,1930,orthognathic-surgery,/knowledge/ناقرینگیهای-ناشی-از-تروما-به-صورت-عل,batch-2-implemented
/ایمپلنت-دندان-اقساطی,ایمپلنت دندان اقساطی | کاشت دندان با شرایط پرداخت ویژه در تبریز و تهران,3322,25,1452,advanced-dental-implant,/services/advanced-dental-implant,pending-batch-3-or-4
/بیماری-کندیلار-هایپرپلاژیا-علل،-تشخی,بیماری کندیلار هایپرپلاژیا: علل، تشخیص و درمان,3190,22,335,orthognathic-surgery,/knowledge/بیماری-کندیلار-هایپرپلاژیا-علل،-تشخی,batch-2-implemented
/جراحی-فک-دیجیتال,جراحی فک دیجیتال: تحول نوین در دقت و نتایج جراحی‌های فک و صورت,2728,20,339,orthognathic-surgery,/knowledge/جراحی-فک-دیجیتال,batch-2-implemented
/جراحی-فک-خطرناک,آیا جراحی فک خطرناک است؟ بررسی علمی عوارض، مزایا و نکات مهم پیش از عمل,3119,19,2225,orthognathic-surgery,/knowledge/جراحی-فک-خطرناک,batch-2-implemented
/سینوس-لیفت-و-ایمپلنت-دندان,سینوس لیفت تخصصی و کاشت ایمپلنت دندان با بهترین تکنیک‌های روز دنیا در کلینیک دکتر صدیقی – تهران و تبریز,4523,18,888,advanced-dental-implant,/knowledge/سینوس-لیفت-و-ایمپلنت-دندان,batch-2-implemented
/مقایسه-ایمپلنت-و-دندان-طبیعی-بررسی-تفا,مقایسه ایمپلنت و دندان طبیعی: بررسی تفاوت‌ها در ساختار، عملکرد و طول عمر,9656,17,461,advanced-dental-implant,/knowledge/مقایسه-ایمپلنت-و-دندان-طبیعی-بررسی-تفا,batch-2-implemented
/جراحی-فک-کم-تهاجمی,جراحی فک کم تهاجمی: درمانی نوین با حداقل درد و دوران نقاهت کوتاه,3054,17,395,orthognathic-surgery,/knowledge/جراحی-فک-کم-تهاجمی,batch-2-implemented
/مزایای-جراحی-فک-و-معرفی-بهترین-جراح-فک،,مزایای جراحی فک و معرفی بهترین جراح فک، دکتر علیرضا صدیقی,4727,16,734,orthognathic-surgery,/about,approved-redirect-to-about-not-migrated
/جراحی-جلوآمدگی-فک-پایین-2,جراحی جلوآمدگی فک پایین | درمان جلو بودن فک پایین و اصلاح ناهنجاری فک + عکس قبل و بعد,10084,14,1362,orthognathic-surgery,/knowledge/جراحی-جلوآمدگی-فک-پایین-2,batch-2-implemented
/رضایت-بیمار-از-جراحی-فک,رضایت بیمار از جراحی فک,85,12,192,orthognathic-surgery,/services/orthognathic-surgery,reserved-for-testimonials-feature
/درمان-غیر-قرینگی-صورت-راهکارها،-نقش-اس,درمان غیر قرینگی صورت: راهکارها، نقش اسکن طب هسته‌ای و زمان مناسب برای جراحی فک,5173,12,139,orthognathic-surgery,/knowledge/ناقرینگیهای-ناشی-از-تروما-به-صورت-عل,batch-2-implemented
/خنده-لثهای؛-علل،-تشخیص-و-روشهای-درم,خنده لثه‌ای؛ علل، تشخیص و روش‌های درمانی توسط دکتر علیرضا صدیقی، بهترین جراح فک در ایران,5001,11,1419,uncategorized,,pending-business-relevance-decision
/عوارض-ایمپلنت-دندان,عوارض ایمپلنت دندان: واقعیت یا نگرانی بی‌مورد؟,4053,11,1560,advanced-dental-implant,/services/advanced-dental-implant,pending-batch-3-or-4
/نگاهی-به-انواع-جراحی-دندان-و-آشنایی-با-م,نگاهی به انواع جراحی دندان و آشنایی با مراقبت های بعد از آن,7716,10,748,care-instructions,,pending-batch-3-or-4
/صدای-فک-و-اختلالات-مفصل-tmj-علل،-راهکارها,صدای فک و اختلالات مفصل TMJ: علل، راهکارها و درمان‌ها,5314,10,469,uncategorized,/services/orthognathic-surgery,pending-batch-3-or-4
/ایمپلنت-اشترومن-در-تبریز؛-بهترین-راه,ایمپلنت اشترومن تبریز (Straumann)؛ ایمپلنت سوئیسی با طرح درمان تخصصی,4784,10,119,advanced-dental-implant,/services/advanced-dental-implant,pending-batch-3-or-4
/رینوپلاستی-چیست؟,رینوپلاستی چیست؟,3093,9,515,rhinoplasty,/services/rhinoplasty,pending-batch-3-or-4
