id,source,matching,destination,type,category,status,ignore
"1","news","exact","https://dralirezasadighi.com/%d8%af%da%a9%d8%aa%d8%b1-%d8%b9%d9%84%db%8c%d8%b1%d8%b6%d8%a7-%d8%b5%d8%af%db%8c%d9%82%db%8c-2","301","","active",""
"2","en/what-is-a-recessed-lower-jaw-causes-symptoms-and-the-importance-of-treatment","exact","https://dralirezasadighi.com/en/recessed-lower-jaw-causes-symptoms-and-treatment","301","","active",""
"3","ایمپلنت-فوری-در-تبریز-راهکاری-سریع-و-م","exact","https://dralirezasadighi.com/%d8%a7%db%8c%d9%85%d9%be%d9%84%d9%86%d8%aa-%d9%81%d9%88%d8%b1%db%8c-%d8%af%d8%b1-%d8%aa%d8%a8%d8%b1%db%8c%d8%b2","301","","active",""
"4","تفاوت-کشیدن-دندان-و-جراحی-دندان-عقل-هرآ","exact","https://dralirezasadighi.com/%d8%aa%d9%81%d8%a7%d9%88%d8%aa-%da%a9%d8%b4%db%8c%d8%af%d9%86-%d8%af%d9%86%d8%af%d8%a7%d9%86-%d9%88-%d8%ac%d8%b1%d8%a7%d8%ad%db%8c-%d8%af%d9%86%d8%af%d8%a7%d9%86-%d8%b9%d9%82%d9%84","301","","active",""
"5","ایمپلنت-سوئیسی-دیجیتالی؛-بهترین-راه","exact","https://dralirezasadighi.com/%d8%a7%db%8c%d9%85%d9%be%d9%84%d9%86%d8%aa-%d8%b3%d9%88%d8%a6%db%8c%d8%b3%db%8c-%d8%af%db%8c%d8%ac%db%8c%d8%aa%d8%a7%d9%84%db%8c","301","","active",""
"6","ایمپلنت-دندان-بدون-درد-راهی-برای-لبخند","exact","https://dralirezasadighi.com/%d8%a7%db%8c%d9%85%d9%be%d9%84%d9%86%d8%aa-%d8%af%d9%86%d8%af%d8%a7%d9%86-%d8%a8%d8%af%d9%88%d9%86-%d8%af%d8%b1%d8%af","301","","active",""
"7","جراحی-فک-پایین-عقب-رفته-بهبودی-و-نتایج","exact","https://dralirezasadighi.com/%d8%ac%d8%b1%d8%a7%d8%ad%db%8c-%d9%81%da%a9-%d9%be%d8%a7%db%8c%db%8c%d9%86-%d8%b9%d9%82%d8%a8-%d8%b1%d9%81%d8%aa%d9%87","301","","active",""
"8","جوانسازی-صورت-با-فیلر-راهی-سریع-و-مؤثر","exact","https://dralirezasadighi.com/%d8%ac%d9%88%d8%a7%d9%86%d8%b3%d8%a7%d8%b2%db%8c-%d8%b5%d9%88%d8%b1%d8%aa-%d8%a8%d8%a7-%d9%81%db%8c%d9%84%d8%b1-%d8%aa%d9%87%d8%b1%d8%a7%d9%86-%d9%88-%d8%aa%d8%a8%d8%b1%db%8c%d8%b2","301","","active",""
"9","جراحی-فک-پایین-عقب-رفته-راهی-برای-بهبود/","exact","https://dralirezasadighi.com/%d8%ac%d8%b1%d8%a7%d8%ad%db%8c-%d9%81%da%a9-%d9%be%d8%a7%db%8c%db%8c%d9%86-%d8%b9%d9%82%d8%a8-%d8%b1%d9%81%d8%aa%d9%87/","301","","active",""
"9","جراحی-فک-پایین-عقب-رفته-2/","exact","https://dralirezasadighi.com/%d8%ac%d8%b1%d8%a7%d8%ad%db%8c-%d9%81%da%a9-%d9%be%d8%a7%db%8c%db%8c%d9%86-%d8%b9%d9%82%d8%a8-%d8%b1%d9%81%d8%aa%d9%87/","301","","active",""
"10","جراحی-فک-کمتهاجمی-روشی-نوین-برای-درم/","exact","https://dralirezasadighi.com/%d8%ac%d8%b1%d8%a7%d8%ad%db%8c-%d9%81%da%a9-%da%a9%d9%85-%d8%aa%d9%87%d8%a7%d8%ac%d9%85%db%8c/","301","","active",""
"11","مراحل-جراحی-فک-در-اتاق-عمل-از-برنامهر/","exact","https://dralirezasadighi.com/%d9%81%db%8c%d9%84%d9%85_%d8%ac%d8%b1%d8%a7%d8%ad%db%8c_%d9%81%da%a9_%d8%af%d8%b1_%d8%a7%d8%aa%d8%a7%d9%82_%d8%b9%d9%85%d9%84/","301","","active",""
"11","فیلم-جراحی-فک-در-اتاق-عمل/","exact","https://dralirezasadighi.com/%d9%81%db%8c%d9%84%d9%85_%d8%ac%d8%b1%d8%a7%d8%ad%db%8c_%d9%81%da%a9_%d8%af%d8%b1_%d8%a7%d8%aa%d8%a7%d9%82_%d8%b9%d9%85%d9%84/","301","","active",""
"12","جراحی-برجستگی-پیشانی-روشها،-مزایا-و/","exact","https://dralirezasadighi.com/%d8%ac%d8%b1%d8%a7%d8%ad%db%8c-%d8%a8%d8%b1%d8%ac%d8%b3%d8%aa%da%af%db%8c-%d9%be%db%8c%d8%b4%d8%a7%d9%86%db%8c/","301","","active",""
"13","ایمپلنت-دندان-اقساطی-کاشت-دندان-با-ش/","exact","https://dralirezasadighi.com/%d8%a7%db%8c%d9%85%d9%be%d9%84%d9%86%d8%aa-%d8%af%d9%86%d8%af%d8%a7%d9%86-%d8%a7%d9%82%d8%b3%d8%a7%d8%b7%db%8c/","301","","active",""
"14","ایمپلنت-دیجیتال-تحولی-نوین-در-دندان/","exact","https://dralirezasadighi.com/%d8%a7%db%8c%d9%85%d9%be%d9%84%d9%86%d8%aa-%d8%af%db%8c%d8%ac%db%8c%d8%aa%d8%a7%d9%84/","301","","active",""
"15","ایمپلنت-دندان-راهکاری-برای-بازگرداند/","exact","https://dralirezasadighi.com/%d8%a7%db%8c%d9%85%d9%be%d9%84%d9%86%d8%aa-%d8%af%d9%86%d8%af%d8%a7%d9%86/","301","","active",""
"16","جراحی-فک-دیجیتال-انقلابی-در-دقت-و-نتایج/","exact","https://dralirezasadighi.com/%d8%ac%d8%b1%d8%a7%d8%ad%db%8c-%d9%81%da%a9-%d8%af%db%8c%d8%ac%db%8c%d8%aa%d8%a7%d9%84/","301","","active",""
"17","آیا-جراحی-فک-خطرناک-است؟/","exact","https://dralirezasadighi.com/%d8%ac%d8%b1%d8%a7%d8%ad%db%8c-%d9%81%da%a9-%d8%ae%d8%b7%d8%b1%d9%86%d8%a7%da%a9/","301","","active",""
"18","فک-پایین-عقبرفته-چیست؟-دلایل،-علائم/","exact","https://dralirezasadighi.com/%d9%81%da%a9-%d9%be%d8%a7%db%8c%db%8c%d9%86-%d8%b9%d9%82%d8%a8%d8%b1%d9%81%d8%aa%d9%87/","301","","active",""
"19","راهنمای-جامع-جراحی-فک-پایین-جلو-آمده-هر/","exact","https://dralirezasadighi.com/%d8%ac%d8%b1%d8%a7%d8%ad%db%8c-%d9%81%da%a9-%d9%be%d8%a7%db%8c%db%8c%d9%86-%d8%ac%d9%84%d9%88-%d8%a2%d9%85%d8%af%d9%87/","301","","active",""
"20","روشهای-نوین-جراحی-برای-اصلاح-جلوآمدگ/","exact","https://dralirezasadighi.com/%d8%ac%d8%b1%d8%a7%d8%ad%db%8c-%d8%ac%d9%84%d9%88%d8%a2%d9%85%d8%af%da%af%db%8c-%d9%81%da%a9-%d9%be%d8%a7%db%8c%db%8c%d9%86-2/","301","","active",""
"20","جراحی-جلوآمدگی-فک-پایین/","exact","https://dralirezasadighi.com/%d8%ac%d8%b1%d8%a7%d8%ad%db%8c-%d8%ac%d9%84%d9%88%d8%a2%d9%85%d8%af%da%af%db%8c-%d9%81%da%a9-%d9%be%d8%a7%db%8c%db%8c%d9%86-2/","301","","active",""
"20","روشهای-نوین-جراحی-برای-اصلاح-جلوآمدگ/","exact","https://dralirezasadighi.com/%d8%ac%d8%b1%d8%a7%d8%ad%db%8c-%d8%ac%d9%84%d9%88%d8%a2%d9%85%d8%af%da%af%db%8c-%d9%81%da%a9-%d9%be%d8%a7%db%8c%db%8c%d9%86-2/","301","","active",""
"21","فیزیوتراپی-بعد-از-جراحی-فک-چرا-ضروری-اس/","exact","https://dralirezasadighi.com/%d9%81%db%8c%d8%b2%db%8c%d9%88%d8%aa%d8%b1%d8%a7%d9%be%db%8c-%d8%a8%d8%b9%d8%af-%d8%a7%d8%b2-%d8%ac%d8%b1%d8%a7%d8%ad%db%8c-%d9%81%da%a9/","301","","active",""
"22","ایمپلنت-دندان-چیست-و-چگونه-عمل-میکند/","exact","https://dralirezasadighi.com/%d8%a7%db%8c%d9%85%d9%be%d9%84%d9%86%d8%aa-%d8%af%d9%86%d8%af%d8%a7%d9%86-%da%86%db%8c%d8%b3%d8%aa/","301","","active",""
"23","عوارض-ایمپلنت-دندان-واقعیت-یا-نگرانی-ب/","exact","https://dralirezasadighi.com/%d8%b9%d9%88%d8%a7%d8%b1%d8%b6-%d8%a7%db%8c%d9%85%d9%be%d9%84%d9%86%d8%aa-%d8%af%d9%86%d8%af%d8%a7%d9%86/","301","","active",""
"24","ایمپلنت-دندان-در-تبریز؛-پرسشهای-پرتک/","exact","https://dralirezasadighi.com/%d8%a7%db%8c%d9%85%d9%be%d9%84%d9%86%d8%aa-%d8%af%d9%86%d8%af%d8%a7%d9%86-%d8%af%d8%b1-%d8%aa%d8%a8%d8%b1%db%8c%d8%b2-%d9%be%d8%b1%d8%b3%d8%b4-%d9%be%d8%a7%d8%b3%d8%ae/","301","","active",""
"25","ایمپلنت-در-تهران-از-نگاه-بیماران؛-مقای/","exact","https://dralirezasadighi.com/%d8%a7%db%8c%d9%85%d9%be%d9%84%d9%86%d8%aa-%d8%af%d8%b1-%d8%aa%d9%87%d8%b1%d8%a7%d9%86/","301","","active",""
"26","ایمپلنت-اقساطی-در-تهران-برای-همه؛-از-دغ/","exact","https://dralirezasadighi.com/%d8%a7%db%8c%d9%85%d9%be%d9%84%d9%86%d8%aa-%d8%a7%d9%82%d8%b3%d8%a7%d8%b7%db%8c-%d8%af%d8%b1-%d8%aa%d9%87%d8%b1%d8%a7%d9%86/","301","","active",""
"27","طول-عمر-ایمپلنت-دندان-چقدر-است؟-بررسی-ج/","exact","https://dralirezasadighi.com/%d8%b7%d9%88%d9%84-%d8%b9%d9%85%d8%b1-%d8%a7%db%8c%d9%85%d9%be%d9%84%d9%86%d8%aa-%d8%af%d9%86%d8%af%d8%a7%d9%86/","301","","active",""
"28","راهنمای-جامع-ایمپلنت-دندان-در-تبریز-مع/","exact","https://dralirezasadighi.com/%d8%b1%d8%a7%d9%87%d9%86%d9%85%d8%a7%db%8c-%d8%ac%d8%a7%d9%85%d8%b9-%d8%a7%db%8c%d9%85%d9%be%d9%84%d9%86%d8%aa-%d8%af%d9%86%d8%af%d8%a7%d9%86-%d8%af%d8%b1-%d8%aa%d8%a8%d8%b1%db%8c%d8%b2-2/","301","","active",""
"29","جراحی-چانه،-پروتز-چانه،-فیلر-و-جینیوپل/","exact","https://dralirezasadighi.com/%d8%ac%d8%b1%d8%a7%d8%ad%db%8c-%da%86%d8%a7%d9%86%d9%87-%d9%be%d8%b1%d9%88%d8%aa%d8%b2-%d9%81%db%8c%d9%84%d8%b1-%d8%ac%db%8c%d9%86%db%8c%d9%88%d9%be%d9%84%d8%a7%d8%b3%d8%aa%db%8c/","301","","active",""
"30","لیفت-شقیقه-گلایدینگ؛-جوانسازی-طبیعی-ب/","exact","https://dralirezasadighi.com/%d9%84%db%8c%d9%81%d8%aa-%d8%b4%d9%82%db%8c%d9%82%d9%87-%da%af%d9%84%d8%a7%db%8c%d8%af%db%8c%d9%86%da%af/","301","","active",""
"31","سینوس-لیفت-تخصصی-و-کاشت-ایمپلنت-دندان-ب/","exact","https://dralirezasadighi.com/%d8%b3%db%8c%d9%86%d9%88%d8%b3-%d9%84%db%8c%d9%81%d8%aa-%d9%88-%d8%a7%db%8c%d9%85%d9%be%d9%84%d9%86%d8%aa-%d8%af%d9%86%d8%af%d8%a7%d9%86/","301","","active",""
"32","چرا-دندان-عقل-درد-میکند؟-دلایل-و-راه/","exact","https://dralirezasadighi.com/%d8%af%d8%b1%d8%af-%d8%af%d9%86%d8%af%d8%a7%d9%86-%d8%b9%d9%82%d9%84/","301","","active",""
"33","جراحی-زیبایی-بینی-راهنمای-کامل-عمل-بین/","exact","https://dralirezasadighi.com/%d8%ac%d8%b1%d8%a7%d8%ad%db%8c-%d8%b2%db%8c%d8%a8%d8%a7%db%8c%db%8c-%d8%a8%db%8c%d9%86%db%8c/","301","","active",""
"34","جراحی-بازسازی-نواقص-صورت-بازگرداندن-ز/","exact","https://dralirezasadighi.com/%d8%ac%d8%b1%d8%a7%d8%ad%db%8c-%d8%a8%d8%a7%d8%b2%d8%b3%d8%a7%d8%b2%db%8c-%d9%86%d9%88%d8%a7%d9%82%d8%b5-%d8%b5%d9%88%d8%b1%d8%aa-%d8%a8%d8%a7%d8%b2%da%af%d8%b1%d8%af%d8%a7%d9%86%d8%af%d9%86/","301","","active",""
"34","جراحی-بازسازی-نواقص-صورت-بازگرداندن-ز/","exact","https://dralirezasadighi.com/%d8%ac%d8%b1%d8%a7%d8%ad%db%8c-%d8%a8%d8%a7%d8%b2%d8%b3%d8%a7%d8%b2%db%8c-%d9%86%d9%88%d8%a7%d9%82%d8%b5-%d8%b5%d9%88%d8%b1%d8%aa-%d8%a8%d8%a7%d8%b2%da%af%d8%b1%d8%af%d8%a7%d9%86%d8%af%d9%86/","301","","active",""
"35","عمل-بینی-اروپایی-چیست-و-برای-چه-چهرهه/","exact","https://dralirezasadighi.com/european-nose-job/","301","","active",""
"35","european-nose-job-what-is-it-and-who-is-it-for/","exact","https://dralirezasadighi.com/european-nose-job/","301","","active",""
"37","tag/جراحی-ایمپلنت-تبریز/","exact","https://dralirezasadighi.com/%d8%a7%db%8c%d9%85%d9%be%d9%84%d9%86%d8%aa-%d8%a7%d8%b4%d8%aa%d8%b1%d9%88%d9%85%d9%86-%d8%af%d8%b1-%d8%aa%d8%a8%d8%b1%db%8c%d8%b2%d8%9b-%d8%a8%d9%87%d8%aa%d8%b1%db%8c%d9%86-%d8%b1%d8%a7%d9%87/","301","","active",""
